county,2014_score,2014_rate,2015_score,2015_rate,2016_score,2016_rate,2017_score,2017_rate,2018_score,2018_rate,2019_score,2019_rate,2020_score,2020_rate,2021_score,2021_rate,2022_score,2022_rate,2023_score,2023_rate
1001,43.71,Minor,72.37,Minor,43.55,Minor,72.3,Moderate,85.77,Moderate,79.91,Moderate,71.81,Moderate,47.58,Minor,47.32,Minor,52.35,Minor
1003,88.98,Moderate,90.04,Moderate,79.78,Moderate,88.05,Moderate,98.81,Severe,69.85,Moderate,82,Moderate,92.26,Moderate,92.62,Major,54.2,Minor
1005,9.76,Minor,23.23,Minor,46.72,Minor,40.3,Minor,53.38,Minor,56.92,Minor,29.12,Minor,82.1,Moderate,13.17,Minor,17.29,Minor
1007,0.86,Minor,52.25,Minor,57.11,Minor,45.53,Minor,81.54,Moderate,74.45,Moderate,35.57,Minor,63.27,Minor,24.45,Minor,0.2,Minor
1009,9.76,Minor,63.24,Minor,69.92,Minor,72.14,Moderate,83.95,Moderate,85.21,Moderate,31.6,Minor,71.44,Moderate,13.17,Minor,17.29,Minor
1011,30.61,Minor,15.55,Minor,23.23,Minor,28.99,Minor,42.55,Minor,46.1,Minor,46.56,Minor,33.92,Minor,52.12,Minor,0.1,Minor
1013,41.56,Minor,29.52,Minor,42.72,Minor,74.55,Moderate,80.11,Moderate,70.28,Moderate,62.51,Moderate,71.71,Moderate,57.28,Minor,66.28,Minor
1015,9.76,Minor,75.15,Minor,84.08,Moderate,89.81,Moderate,92.89,Major,84.41,Moderate,57.84,Minor,83.02,Moderate,13.17,Minor,17.29,Minor
1017,9.76,Minor,21.34,Minor,39.87,Minor,42.16,Minor,48.81,Minor,63.77,Minor,19.49,Minor,26.8,Minor,13.17,Minor,17.29,Minor
1019,9.76,Minor,0.4,Minor,94.34,Moderate,3.41,Minor,16.28,Minor,8.6,Minor,11.2,Minor,21.48,Minor,13.17,Minor,17.29,Minor
1021,48.08,Minor,72.07,Minor,65.68,Minor,52.28,Minor,92.59,Major,78.79,Moderate,56.65,Minor,80.48,Moderate,53.61,Minor,50.53,Minor
1023,9.76,Minor,50.53,Minor,18.37,Minor,43.98,Minor,47.95,Minor,29.78,Minor,29.58,Minor,44.28,Minor,13.17,Minor,17.29,Minor
1025,18.86,Minor,29.05,Minor,19.03,Minor,18.03,Minor,78.52,Moderate,34.71,Minor,21.08,Minor,46.89,Minor,24.98,Minor,34.86,Minor
1027,9.76,Minor,22.8,Minor,39.48,Minor,32.1,Minor,74.69,Moderate,76.54,Moderate,21.64,Minor,50.96,Minor,13.17,Minor,17.29,Minor
1029,9.76,Minor,31.97,Minor,74.32,Moderate,59.66,Minor,81.87,Moderate,79.25,Moderate,47.68,Minor,72.5,Moderate,13.17,Minor,17.29,Minor
1031,52.61,Minor,35.74,Minor,38.72,Minor,46.72,Minor,56.45,Minor,39.54,Minor,33.75,Minor,50.07,Minor,50.17,Minor,42.69,Minor
1035,21.74,Minor,4.17,Minor,3.84,Minor,11.09,Minor,19.62,Minor,10.46,Minor,17.07,Minor,18.66,Minor,26.97,Minor,2.35,Minor
1037,59.93,Minor,70.98,Minor,62.64,Minor,66.58,Minor,87.72,Moderate,84.22,Moderate,58.57,Minor,68.73,Moderate,53.51,Minor,47.45,Minor
1039,40.83,Minor,13.7,Minor,9.89,Minor,25.12,Minor,53.18,Minor,30.05,Minor,33.98,Minor,26.94,Minor,42.29,Minor,50.76,Minor
1041,32.5,Minor,35.84,Minor,22.17,Minor,60.99,Minor,72.44,Moderate,44.47,Minor,45.86,Minor,44.51,Minor,44.94,Minor,68.46,Minor
1043,9.76,Minor,75.28,Minor,71.08,Minor,90.47,Moderate,76.54,Moderate,87.43,Moderate,73.79,Moderate,67.7,Moderate,13.17,Minor,17.29,Minor
1045,22.34,Minor,12.21,Minor,15.55,Minor,38.65,Minor,60.16,Minor,39.01,Minor,21.18,Minor,79.91,Moderate,45.53,Minor,35.84,Minor
1047,33.95,Minor,69.79,Minor,65.55,Minor,85.11,Moderate,93.12,Major,83.65,Moderate,51.65,Minor,58.31,Minor,47.52,Minor,58.24,Minor
1049,9.76,Minor,3.11,Minor,2,Minor,1.72,Minor,0.6,Minor,5.26,Minor,6.88,Minor,5.51,Minor,13.17,Minor,17.29,Minor
1051,49.34,Minor,71.38,Minor,73.53,Minor,83.19,Moderate,92.69,Major,86.66,Moderate,72.96,Moderate,73.99,Moderate,58.97,Moderate,83.92,Moderate
1053,18.7,Minor,26.17,Minor,22.34,Minor,41.16,Minor,80.05,Moderate,48.71,Minor,16.28,Minor,40.27,Minor,25.28,Minor,17.29,Minor
1055,9.76,Minor,60.66,Minor,65.42,Minor,86.43,Moderate,80.41,Moderate,80.24,Moderate,34.81,Minor,81.27,Moderate,13.17,Minor,17.29,Minor
1057,9.76,Minor,55.92,Minor,47.12,Minor,64.59,Minor,66.28,Moderate,88.72,Moderate,23,Minor,59.76,Minor,13.17,Minor,17.29,Minor
1059,9.76,Minor,22.96,Minor,23.43,Minor,35.87,Minor,19.16,Minor,24.55,Minor,14.99,Minor,29.15,Minor,13.17,Minor,17.29,Minor
1061,34.25,Minor,47.52,Minor,21.77,Minor,29.62,Minor,64.76,Minor,33.06,Minor,55.99,Minor,87.29,Moderate,34.88,Minor,34.78,Minor
1063,9.76,Minor,13.2,Minor,28.36,Minor,29.02,Minor,32.83,Minor,34.55,Minor,18.27,Minor,23.73,Minor,13.17,Minor,17.29,Minor
1065,9.76,Minor,34.71,Minor,51.09,Minor,34.22,Minor,56.09,Minor,50.83,Minor,24.35,Minor,28.62,Minor,13.17,Minor,17.29,Minor
1067,45.5,Minor,37.69,Minor,45.14,Minor,26.11,Minor,59.53,Minor,36.43,Minor,2.55,Minor,82,Moderate,13.17,Minor,17.29,Minor
1069,36.73,Minor,42.52,Minor,46.03,Minor,50.03,Minor,30.54,Minor,20.62,Minor,26.01,Minor,95.17,Major,72.73,Moderate,17.29,Minor
1071,0.63,Minor,30.31,Minor,34.78,Minor,37.46,Minor,11.55,Minor,13.63,Minor,10.99,Minor,1.89,Minor,13.17,Minor,17.29,Minor
1073,9.76,Minor,97.65,Major,97.65,Major,97.15,Major,97.75,Major,97.55,Major,55.16,Minor,97.98,Major,13.17,Minor,17.29,Minor
1075,9.76,Minor,47.58,Minor,54.57,Minor,58.5,Minor,71.87,Moderate,86.43,Moderate,23.1,Minor,39.15,Minor,13.17,Minor,17.29,Minor
1077,9.76,Minor,89.54,Moderate,75.41,Moderate,93.68,Moderate,75.45,Moderate,87.62,Moderate,66.84,Moderate,73.1,Moderate,13.17,Minor,17.29,Minor
1079,9.76,Minor,7.18,Minor,18.83,Minor,50.36,Minor,5.03,Minor,10.29,Minor,15.62,Minor,13.7,Minor,13.17,Minor,17.29,Minor
1081,9.76,Minor,79.68,Moderate,49.7,Minor,50.66,Minor,81.97,Moderate,81.7,Moderate,25.28,Minor,81.14,Moderate,13.17,Minor,17.29,Minor
1083,9.76,Minor,4.37,Minor,15.42,Minor,3.51,Minor,4.67,Minor,39.77,Minor,11.35,Minor,1.69,Minor,13.17,Minor,17.29,Minor
1085,34.45,Minor,23.1,Minor,43.05,Minor,55.76,Minor,78.99,Moderate,61.61,Minor,69.66,Moderate,40.93,Minor,31.57,Minor,65.32,Minor
1087,9.76,Minor,11.71,Minor,20.09,Minor,21.14,Minor,42.49,Minor,36.2,Minor,30.31,Minor,34.18,Minor,13.17,Minor,17.29,Minor
1089,98.81,Severe,89.94,Moderate,92.29,Moderate,96.56,Major,95.14,Major,83.82,Moderate,85.61,Moderate,92.29,Moderate,96.59,Major,17.29,Minor
1091,9.76,Minor,37.13,Minor,31.7,Minor,33.42,Minor,61.91,Minor,38.35,Minor,36.66,Minor,18.96,Minor,13.17,Minor,17.29,Minor
1093,9.76,Minor,72.44,Minor,52.95,Minor,76.94,Moderate,80.68,Moderate,83.72,Moderate,20.78,Minor,32.73,Minor,13.17,Minor,17.29,Minor
1095,9.76,Minor,3.97,Minor,18.4,Minor,37.72,Minor,96.89,Major,9.66,Minor,11.73,Minor,10.69,Minor,13.17,Minor,17.29,Minor
1097,9.76,Minor,94.8,Moderate,95.96,Major,94.14,Major,99.8,Extreme,97.82,Major,27.04,Minor,95.33,Major,23.87,Minor,17.29,Minor
1099,40.67,Minor,12.57,Minor,31.11,Minor,25.05,Minor,68.6,Moderate,53.28,Minor,43.12,Minor,46.46,Minor,28.89,Minor,53.81,Minor
1101,19.39,Minor,88.98,Moderate,83.72,Moderate,89.11,Moderate,93.58,Major,87.76,Moderate,40.44,Minor,85.27,Moderate,25.88,Minor,17.29,Minor
1103,9.76,Minor,43.38,Minor,29.19,Minor,75.48,Moderate,18.33,Minor,8.67,Minor,15.85,Minor,15.25,Minor,13.17,Minor,17.29,Minor
1105,34.98,Minor,54.8,Minor,49.27,Minor,52.55,Minor,79.38,Moderate,62.14,Minor,1.65,Minor,55.82,Minor,24.22,Minor,17.29,Minor
1107,9.76,Minor,28.49,Minor,48.81,Minor,52.61,Minor,70.75,Moderate,84.35,Moderate,21.94,Minor,47.85,Minor,13.17,Minor,17.29,Minor
1109,32.43,Minor,10.42,Minor,29.42,Minor,48.61,Minor,58.57,Minor,23.59,Minor,41.83,Minor,26.9,Minor,47.19,Minor,42.49,Minor
1111,9.76,Minor,38.05,Minor,63.07,Minor,56.42,Minor,81.7,Moderate,82.79,Moderate,26.54,Minor,55.43,Minor,13.17,Minor,17.29,Minor
1113,0.63,Minor,26.87,Minor,28.09,Minor,16.94,Minor,59.93,Minor,65.22,Minor,26.8,Minor,56.22,Minor,13.17,Minor,17.29,Minor
1115,9.76,Minor,84.45,Moderate,71.61,Minor,82.89,Moderate,87.26,Moderate,86.3,Moderate,33.09,Minor,85.01,Moderate,13.17,Minor,17.29,Minor
1117,9.76,Minor,89.44,Moderate,84.48,Moderate,82.93,Moderate,96.43,Major,87.52,Moderate,73,Moderate,91.2,Moderate,13.17,Minor,17.29,Minor
1119,9.76,Minor,47.82,Minor,57.41,Minor,39.77,Minor,43.78,Minor,43.45,Minor,27.23,Minor,21.74,Minor,13.17,Minor,17.29,Minor
1121,28.42,Minor,66.35,Minor,73.66,Minor,71.51,Minor,92.72,Major,83.12,Moderate,67.57,Moderate,76.04,Moderate,28.95,Minor,36.14,Minor
1123,21.28,Minor,55.63,Minor,60.13,Minor,80.01,Moderate,88.58,Moderate,81.83,Moderate,53.31,Minor,70.42,Moderate,30.01,Minor,17.29,Minor
1125,9.76,Minor,85.08,Moderate,87.95,Moderate,83.88,Moderate,86.83,Moderate,89.51,Moderate,28.42,Minor,90.47,Moderate,13.17,Minor,17.29,Minor
1127,9.76,Minor,77.47,Minor,79.25,Moderate,81.67,Moderate,87.82,Moderate,94.04,Moderate,35.37,Minor,51.32,Minor,13.17,Minor,17.29,Minor
1129,9.76,Minor,5.33,Minor,3.77,Minor,8.93,Minor,19.95,Minor,8.41,Minor,15.45,Minor,20.81,Minor,23.79,Minor,17.29,Minor
1131,22.96,Minor,55.56,Minor,47.88,Minor,69.09,Minor,85.54,Moderate,74.62,Moderate,44.31,Minor,75.94,Moderate,36.14,Minor,58.7,Minor
1133,9.76,Minor,68.5,Minor,63.93,Minor,79.62,Moderate,76.14,Moderate,85.47,Moderate,48.91,Minor,50.69,Minor,13.17,Minor,17.29,Minor
4001,42.12,Minor,10.19,Minor,5.1,Minor,29.45,Minor,2.75,Minor,27.1,Minor,27.83,Minor,18.37,Minor,26.84,Minor,64.23,Minor
4003,9.76,Minor,30.77,Minor,66.51,Minor,51.56,Minor,9.63,Minor,9.03,Minor,40.37,Minor,35.94,Minor,13.17,Minor,17.29,Minor
4005,9.76,Minor,79.45,Moderate,74.45,Moderate,80.21,Moderate,96.16,Major,28.86,Minor,43.25,Minor,74.95,Moderate,13.17,Minor,17.29,Minor
4007,29.15,Minor,78.13,Minor,75.74,Moderate,75.68,Moderate,68.07,Moderate,60.95,Minor,48.61,Minor,63.14,Minor,46.92,Minor,17.29,Minor
4009,9.76,Minor,3.11,Minor,2,Minor,1.72,Minor,1.32,Minor,2.05,Minor,6.88,Minor,5.51,Minor,13.17,Minor,17.29,Minor
4011,9.76,Minor,3.11,Minor,2,Minor,11.18,Minor,0.6,Minor,2.05,Minor,6.88,Minor,5.51,Minor,13.17,Minor,17.29,Minor
4012,9.76,Minor,56.15,Minor,60.79,Minor,36.66,Minor,30.58,Minor,55.23,Minor,40.47,Minor,66.98,Moderate,13.17,Minor,17.29,Minor
4013,96.89,Major,99.11,Severe,99.54,Severe,99.4,Severe,97.45,Major,97.15,Major,97.88,Major,19.06,Minor,95.9,Major,17.29,Minor
4015,9.76,Minor,90.9,Moderate,73.73,Minor,26.24,Minor,21.34,Minor,31.01,Minor,44.71,Minor,55.79,Minor,79.81,Moderate,17.29,Minor
4017,74.42,Moderate,87.79,Moderate,88.62,Moderate,80.77,Moderate,79.32,Moderate,83.85,Moderate,36.07,Minor,85.94,Moderate,51.99,Minor,37.79,Minor
4019,88.45,Moderate,96.69,Major,96.69,Major,98.18,Major,89.11,Moderate,77.4,Moderate,74.29,Moderate,89.74,Moderate,98.87,Severe,17.29,Minor
4021,76.6,Moderate,88.82,Moderate,94.14,Moderate,86.27,Moderate,66.12,Moderate,61.52,Minor,70.71,Moderate,90.7,Moderate,63.77,Moderate,17.29,Minor
4023,9.76,Minor,64.59,Minor,53.08,Minor,25.88,Minor,57.74,Minor,25.28,Minor,92.06,Moderate,46.99,Minor,24.72,Minor,17.29,Minor
4025,9.76,Minor,90.34,Moderate,87.66,Moderate,85.21,Moderate,76.6,Moderate,42.65,Minor,75.65,Moderate,77.04,Moderate,13.17,Minor,17.29,Minor
4027,9.76,Minor,52.78,Minor,59.1,Minor,73.2,Moderate,30.48,Minor,63.83,Minor,57.71,Minor,69.26,Moderate,23.99,Minor,17.29,Minor
5001,62.48,Minor,64.2,Minor,78.92,Moderate,71.64,Minor,86.3,Moderate,72.8,Moderate,85.11,Moderate,59.23,Minor,72.27,Moderate,68.63,Minor
5003,71.48,Moderate,38.42,Minor,68.23,Minor,70.48,Minor,79.91,Moderate,56.25,Minor,63.57,Moderate,76.31,Moderate,74.49,Moderate,53.28,Minor
5005,32.93,Minor,48.31,Minor,43.22,Minor,87.82,Moderate,61.55,Minor,32.83,Minor,30.58,Minor,27.4,Minor,44.08,Minor,43.18,Minor
5007,65.42,Moderate,81.97,Moderate,88.29,Moderate,83.62,Moderate,76.84,Moderate,97.05,Major,73.53,Moderate,34.28,Minor,44.24,Minor,40.7,Minor
5009,76.41,Moderate,51.46,Minor,51.19,Minor,87.23,Moderate,58.14,Minor,57.25,Minor,74.59,Moderate,41.36,Minor,72.07,Moderate,71.91,Minor
5011,47.49,Minor,60.26,Minor,45.27,Minor,67.8,Minor,69.06,Moderate,80.97,Moderate,55.69,Minor,27.5,Minor,62.44,Moderate,47.15,Minor
5013,51.03,Minor,24.88,Minor,32.4,Minor,71.05,Minor,37.13,Minor,28.99,Minor,31.17,Minor,16.98,Minor,48.31,Minor,53.64,Minor
5015,38.98,Minor,65.78,Minor,42.16,Minor,69.82,Minor,34.35,Minor,55.2,Minor,1.22,Minor,17.64,Minor,33.29,Minor,52.88,Minor
5017,50.23,Minor,64.3,Minor,74.39,Moderate,66.31,Minor,78.62,Moderate,81.44,Moderate,68.76,Moderate,50.53,Minor,71.91,Moderate,59.33,Minor
5019,82.69,Moderate,33.32,Minor,45.8,Minor,54.86,Minor,67.67,Moderate,38.55,Minor,58.47,Minor,39.77,Minor,61.61,Moderate,51.65,Minor
5021,48.25,Minor,12.61,Minor,36.86,Minor,28.95,Minor,32.43,Minor,34.22,Minor,21.81,Minor,70.78,Moderate,42.49,Minor,71.77,Minor
5023,48.54,Minor,56.62,Minor,69.56,Minor,28.92,Minor,36.04,Minor,40.87,Minor,63.14,Moderate,28.79,Minor,53.87,Minor,78.79,Moderate
5025,60.49,Minor,59.03,Minor,40.11,Minor,70.19,Minor,54.47,Minor,33.69,Minor,28.26,Minor,27.6,Minor,50.53,Minor,40.87,Minor
5027,74.88,Moderate,65.55,Minor,52.58,Minor,70.02,Minor,72.96,Moderate,86.4,Moderate,63.34,Moderate,37.16,Minor,73.03,Moderate,80.64,Moderate
5029,41.46,Minor,24.49,Minor,44.24,Minor,55.86,Minor,50.26,Minor,44.57,Minor,56.45,Minor,39.48,Minor,43.58,Minor,70.12,Minor
5031,60.89,Minor,23.92,Minor,34.58,Minor,55.59,Minor,9.13,Minor,11.78,Minor,41.53,Minor,24.19,Minor,49.87,Minor,37.52,Minor
5033,66.74,Moderate,56.19,Minor,51.29,Minor,43.51,Minor,36.4,Minor,73.06,Moderate,49.14,Minor,68.17,Moderate,55.86,Minor,79.65,Moderate
5035,68.2,Moderate,35.64,Minor,80.71,Moderate,69.52,Minor,33.19,Minor,51.29,Minor,56.32,Minor,39.94,Minor,71.31,Moderate,73.69,Minor
5037,39.87,Minor,37.16,Minor,71.34,Minor,62.34,Minor,73,Moderate,32.73,Minor,61.61,Moderate,47.65,Minor,70.78,Moderate,71.18,Minor
5039,77.73,Moderate,58.47,Minor,44.01,Minor,73.76,Moderate,76.51,Moderate,60.79,Minor,62.84,Moderate,48.48,Minor,69.42,Moderate,64.92,Minor
5041,64.49,Moderate,64.13,Minor,64.16,Minor,65.95,Minor,74.16,Moderate,72.4,Moderate,65.29,Moderate,38.72,Minor,66.35,Moderate,70.81,Minor
5043,89.44,Moderate,53.21,Minor,64.53,Minor,73.66,Moderate,75.22,Moderate,70.78,Moderate,61.78,Moderate,28.82,Minor,68.33,Moderate,57.15,Minor
5045,72.93,Moderate,38.48,Minor,68.13,Minor,70.22,Minor,38.91,Minor,55.96,Minor,58.64,Minor,51.46,Minor,77.73,Moderate,70.58,Minor
5047,39.44,Minor,39.34,Minor,47.92,Minor,58.47,Minor,44.71,Minor,61.88,Minor,48.28,Minor,33.69,Minor,26.41,Minor,17.29,Minor
5049,31.27,Minor,27.86,Minor,49.87,Minor,67.47,Minor,87.66,Moderate,38.02,Minor,36.37,Minor,16.08,Minor,37.79,Minor,46.39,Minor
5051,97.55,Major,80.77,Moderate,88.98,Moderate,86.86,Moderate,79.78,Moderate,78.09,Moderate,87.66,Moderate,82.36,Moderate,93.85,Major,94.71,Moderate
5053,60.16,Minor,57.21,Minor,62.81,Minor,75.08,Moderate,69.85,Moderate,60.49,Minor,58.27,Minor,24.26,Minor,70.38,Moderate,65.09,Minor
5055,27.96,Minor,18.1,Minor,15.82,Minor,18.63,Minor,4.86,Minor,7.88,Minor,14.06,Minor,22.04,Minor,35.08,Minor,35.47,Minor
5057,68.27,Moderate,46.86,Minor,60.82,Minor,49.04,Minor,44.28,Minor,40.9,Minor,50.17,Minor,33.65,Minor,42.85,Minor,48.94,Minor
5059,75.45,Moderate,61.45,Minor,72.87,Minor,61.12,Minor,82.79,Moderate,66.91,Moderate,74.69,Moderate,33.88,Minor,86.53,Moderate,80.97,Moderate
5061,65.78,Moderate,44.54,Minor,58.37,Minor,40.7,Minor,20.75,Minor,4.93,Minor,49.21,Minor,5.51,Minor,49.6,Minor,52.65,Minor
5063,81.93,Moderate,58.34,Minor,50.56,Minor,75.74,Moderate,66.18,Moderate,55.56,Minor,63.9,Moderate,76.64,Moderate,85.67,Moderate,62.18,Minor
5065,58.74,Minor,40.07,Minor,71.11,Minor,70.38,Minor,57.18,Minor,25.81,Minor,58.7,Minor,33.32,Minor,75.15,Moderate,37.13,Minor
5067,39.11,Minor,16.84,Minor,38.95,Minor,39.15,Minor,22.57,Minor,44.01,Minor,52.75,Minor,63.04,Minor,36.5,Minor,49.44,Minor
5069,64.2,Minor,70.91,Minor,88.58,Moderate,89.21,Moderate,92.36,Major,87.26,Moderate,89.28,Moderate,37.86,Minor,89.21,Moderate,78.49,Moderate
5071,25.02,Minor,24.32,Minor,41.63,Minor,59.4,Minor,36.07,Minor,67.47,Moderate,32.86,Minor,30.31,Minor,29.09,Minor,17.29,Minor
5073,62.44,Minor,29.68,Minor,60.36,Minor,38.39,Minor,47.49,Minor,80.41,Moderate,44.57,Minor,23.63,Minor,54.27,Minor,46.26,Minor
5075,57.91,Minor,48.94,Minor,56.59,Minor,51.95,Minor,39.87,Minor,27.47,Minor,50.89,Minor,48.97,Minor,52.78,Minor,75.91,Moderate
5077,39.68,Minor,28.62,Minor,69.23,Minor,22.37,Minor,50.1,Minor,47.49,Minor,48.81,Minor,46.66,Minor,38.19,Minor,51.32,Minor
5079,36.43,Minor,13.86,Minor,13.34,Minor,67.9,Minor,26.21,Minor,10.59,Minor,23.23,Minor,20.85,Minor,36.04,Minor,34.22,Minor
5081,58.54,Minor,70.78,Minor,56.49,Minor,49.93,Minor,78.03,Moderate,82.33,Moderate,82.3,Moderate,19.16,Minor,57.64,Minor,39.44,Minor
5083,35.24,Minor,13.6,Minor,44.97,Minor,57.61,Minor,36,Minor,47.85,Minor,15.42,Minor,31.2,Minor,74.72,Moderate,40.17,Minor
5085,63.63,Minor,52.68,Minor,75.15,Moderate,91.99,Moderate,53.97,Minor,72.57,Moderate,71.18,Moderate,88.55,Moderate,79.58,Moderate,56.72,Minor
5087,9.76,Minor,62.74,Minor,16.64,Minor,57.84,Minor,10.36,Minor,36.66,Minor,13,Minor,70.81,Moderate,13.17,Minor,17.29,Minor
5089,51.75,Minor,56.68,Minor,58.67,Minor,75.05,Moderate,43.28,Minor,49.5,Minor,65.55,Moderate,47.32,Minor,72.47,Moderate,70.98,Minor
5091,67.77,Moderate,64.96,Minor,72.5,Minor,59.03,Minor,70.88,Moderate,81.34,Moderate,78.72,Moderate,46.03,Minor,67.37,Moderate,53.51,Minor
5093,80.51,Moderate,55.1,Minor,75.18,Moderate,60.36,Minor,52.85,Minor,49.07,Minor,80.18,Moderate,65.59,Moderate,77.4,Moderate,61.32,Minor
5095,40.8,Minor,59.76,Minor,70.25,Minor,86.96,Moderate,66.08,Moderate,56.82,Minor,77.9,Moderate,61.48,Minor,56.22,Minor,62.91,Minor
5097,69.13,Moderate,61.85,Minor,62.41,Minor,65.85,Minor,59.43,Minor,66.38,Moderate,79.58,Moderate,43.12,Minor,83.36,Moderate,76.31,Moderate
5099,70.62,Moderate,61.98,Minor,54.86,Minor,64.03,Minor,53.41,Minor,77.17,Moderate,50.43,Minor,27.2,Minor,56.39,Minor,57.48,Minor
5101,33.45,Minor,31.14,Minor,41.99,Minor,58.14,Minor,35.9,Minor,43.02,Minor,20.35,Minor,47.05,Minor,29.55,Minor,63.1,Minor
5103,72.73,Moderate,36.66,Minor,57.21,Minor,66.84,Minor,75.84,Moderate,84.78,Moderate,67.41,Moderate,38.15,Minor,67.07,Moderate,65.75,Minor
5105,44.41,Minor,34.41,Minor,33.69,Minor,63.14,Minor,41,Minor,28.19,Minor,38.82,Minor,73.89,Moderate,42.39,Minor,2.15,Minor
5107,65.06,Moderate,45.4,Minor,78.72,Moderate,79.15,Moderate,76.08,Moderate,63.4,Minor,67.54,Moderate,29.88,Minor,66.64,Moderate,64.2,Minor
5109,73.16,Moderate,36.2,Minor,57.08,Minor,49.6,Minor,51.85,Minor,63.5,Minor,56.75,Minor,25.78,Minor,61.18,Moderate,64.13,Minor
5111,45.37,Minor,49.54,Minor,75.48,Moderate,63.63,Minor,43.58,Minor,49.11,Minor,77.96,Moderate,70.09,Moderate,72.53,Moderate,71.81,Minor
5113,25.55,Minor,23.96,Minor,30.54,Minor,15.35,Minor,17.9,Minor,12.94,Minor,21.87,Minor,19.89,Minor,37.19,Minor,39.41,Minor
5115,74.75,Moderate,61.32,Minor,72.9,Minor,84.84,Moderate,63.04,Minor,73.96,Moderate,79.55,Moderate,79.38,Moderate,79.85,Moderate,74.92,Minor
5117,58.67,Minor,81.37,Moderate,82,Moderate,75.35,Moderate,68.63,Moderate,81.54,Moderate,87.26,Moderate,42.39,Minor,72.3,Moderate,76.57,Moderate
5119,93.28,Major,93.98,Moderate,95.63,Major,98.44,Major,89.87,Moderate,94.64,Moderate,93.55,Moderate,97.39,Major,98.71,Severe,91.99,Moderate
5121,45.9,Minor,22.57,Minor,34.22,Minor,52.18,Minor,22.14,Minor,29.29,Minor,49.5,Minor,49.27,Minor,30.91,Minor,73.96,Minor
5123,53.08,Minor,41.96,Minor,76.44,Moderate,40.5,Minor,61.05,Minor,38.62,Minor,59.36,Minor,77.73,Moderate,64.79,Moderate,71.14,Minor
5125,75.91,Moderate,58.24,Minor,84.68,Moderate,78.59,Moderate,73.96,Moderate,90.87,Moderate,87.46,Moderate,71.91,Moderate,93.18,Major,70.78,Minor
5127,68.63,Moderate,33.39,Minor,55.26,Minor,59.99,Minor,42.65,Minor,46.03,Minor,48.38,Minor,25.38,Minor,39.74,Minor,55.33,Minor
5129,33.92,Minor,26.57,Minor,24.98,Minor,56.32,Minor,32.69,Minor,22.34,Minor,43.35,Minor,54.14,Minor,36.73,Minor,64.16,Minor
5131,73.76,Moderate,64.82,Minor,60.52,Minor,86.8,Moderate,54.9,Minor,90.11,Moderate,60.89,Minor,81.4,Moderate,89.28,Moderate,69.76,Minor
5133,90.57,Moderate,66.02,Minor,72.27,Minor,66.38,Minor,71.64,Moderate,66.84,Moderate,67.47,Moderate,50.03,Minor,61.98,Moderate,65.52,Minor
5135,52.78,Minor,60.62,Minor,64.36,Minor,74.22,Moderate,55.99,Minor,36.14,Minor,57.68,Minor,31.87,Minor,49.17,Minor,51.36,Minor
5137,67.31,Moderate,41.26,Minor,72.17,Minor,72.8,Moderate,32.5,Minor,54.63,Minor,65.68,Moderate,43.32,Minor,61.65,Moderate,69.42,Minor
5139,91.13,Moderate,77.33,Minor,78.42,Moderate,75.88,Moderate,83.62,Moderate,88.05,Moderate,87.72,Moderate,88.05,Moderate,87.95,Moderate,77.47,Moderate
5141,0.25,Minor,1.67,Minor,3.18,Minor,0.56,Minor,1.36,Minor,4.53,Minor,33.69,Minor,9.99,Minor,23.92,Minor,17.29,Minor
5143,47.72,Minor,84.61,Moderate,83.52,Moderate,92.59,Moderate,32.3,Minor,61.12,Minor,62.48,Moderate,88.88,Moderate,68.99,Moderate,55.36,Minor
5145,73.89,Moderate,72.27,Minor,77.3,Moderate,73.4,Moderate,85.57,Moderate,65.06,Minor,77.13,Moderate,62.77,Minor,67.17,Moderate,74.02,Minor
5147,39.38,Minor,60.49,Minor,69.76,Minor,28.39,Minor,42.75,Minor,27.23,Minor,51.56,Minor,42.46,Minor,33.98,Minor,49.67,Minor
5149,79.88,Moderate,64,Minor,74.52,Moderate,73.53,Moderate,50.89,Minor,64.46,Minor,76.44,Moderate,55.53,Minor,80.38,Moderate,68.07,Minor
6001,9.76,Minor,98.94,Severe,99.11,Severe,99.64,Severe,98.64,Severe,99.83,Severe,12.31,Minor,90.8,Moderate,13.17,Minor,17.29,Minor
6003,9.76,Minor,89.71,Moderate,33.59,Minor,77.07,Moderate,94.34,Major,81.57,Moderate,53.01,Minor,1.56,Minor,13.17,Minor,17.29,Minor
6005,0.63,Minor,86.04,Moderate,91.3,Moderate,93.22,Moderate,93.71,Major,98.41,Major,6.88,Minor,89.28,Moderate,13.17,Minor,17.29,Minor
6007,9.76,Minor,93.61,Moderate,91.03,Moderate,92.42,Moderate,97.09,Major,99.5,Severe,12.54,Minor,97.88,Major,13.17,Minor,17.29,Minor
6009,9.76,Minor,94.51,Moderate,93.65,Moderate,95.96,Major,95.17,Major,98.18,Major,6.88,Minor,66.58,Moderate,13.17,Minor,17.29,Minor
6011,9.76,Minor,70.95,Minor,63.77,Minor,57.94,Minor,59.73,Minor,80.28,Moderate,6.88,Minor,38.42,Minor,13.17,Minor,17.29,Minor
6013,9.76,Minor,98.54,Major,98.51,Major,99.57,Severe,96.79,Major,99.57,Severe,12.87,Minor,95.63,Major,13.17,Minor,17.29,Minor
