county,2014_score,2014_rate,2015_score,2015_rate,2016_score,2016_rate,2017_score,2017_rate,2018_score,2018_rate,2019_score,2019_rate,2020_score,2020_rate,2021_score,2021_rate,2022_score,2022_rate,2023_score,2023_rate
22067,68.89,Moderate,65.42,Minor,53.41,Minor,64.16,Minor,83.09,Moderate,51.26,Minor,75.84,Moderate,38.19,Minor,54.86,Minor,70.45,Minor
22069,81.6,Moderate,71.71,Minor,82.53,Moderate,82.3,Moderate,85.08,Moderate,82.06,Moderate,92.49,Moderate,60.26,Minor,66.81,Moderate,78.62,Moderate
22071,98.64,Severe,99.57,Severe,97.49,Major,96.43,Major,99.67,Extreme,98.35,Major,97.82,Major,96.16,Major,98.21,Severe,97.29,Major
22073,77.1,Moderate,90.87,Moderate,82.79,Moderate,82.76,Moderate,97.58,Major,86.6,Moderate,92.69,Moderate,73.3,Moderate,87.29,Moderate,85.7,Moderate
22075,77.99,Moderate,89.38,Moderate,50.03,Minor,22.4,Minor,89.18,Moderate,60.62,Minor,74.35,Moderate,56.95,Minor,76.41,Moderate,68.76,Minor
22077,69.42,Moderate,75.02,Minor,59.99,Minor,34.25,Minor,65.72,Moderate,67.14,Moderate,34.22,Minor,35.64,Minor,64.89,Moderate,75.94,Moderate
22079,88.62,Moderate,84.22,Moderate,70.28,Minor,83.16,Moderate,94.67,Major,87.06,Moderate,90.14,Moderate,70.19,Moderate,84.18,Moderate,75.28,Minor
22081,75.65,Moderate,77.5,Minor,61.78,Minor,72.83,Moderate,72.57,Moderate,79.75,Moderate,90.37,Moderate,66.38,Moderate,63.7,Moderate,77.33,Moderate
22083,69.39,Moderate,51.72,Minor,44.84,Minor,36.93,Minor,64.99,Minor,51.22,Minor,66.21,Moderate,43.25,Minor,67.34,Moderate,68.66,Minor
22085,94.74,Major,86.66,Moderate,86,Moderate,83.45,Moderate,89.71,Moderate,90.57,Moderate,94.74,Moderate,42.69,Minor,87.43,Moderate,84.91,Moderate
22087,77.53,Moderate,84.12,Moderate,65.12,Minor,44.01,Minor,92.26,Major,47.95,Minor,68.8,Moderate,91.93,Moderate,60.72,Moderate,86.23,Moderate
22089,80.15,Moderate,94.28,Moderate,56.35,Minor,65.52,Minor,88.95,Moderate,74.16,Moderate,72.83,Moderate,72.57,Moderate,74.12,Moderate,78.36,Moderate
22091,51.29,Minor,85.61,Moderate,54.67,Minor,53.04,Minor,88.42,Moderate,93.85,Moderate,89.58,Moderate,51.52,Minor,80.97,Moderate,77.4,Moderate
22093,60.85,Minor,91.3,Moderate,46.13,Minor,68.2,Minor,54.67,Minor,48.74,Minor,14.33,Minor,61.98,Minor,71.61,Moderate,72.67,Minor
22095,81.27,Moderate,94.41,Moderate,69.16,Minor,77.13,Moderate,74.95,Moderate,76.64,Moderate,61.88,Moderate,67.41,Moderate,86.96,Moderate,78.46,Moderate
22097,66.15,Moderate,84.71,Moderate,72.7,Minor,82.43,Moderate,93.51,Major,86.76,Moderate,84.81,Moderate,57.48,Minor,82.79,Moderate,74.88,Minor
22099,67.47,Moderate,74.09,Minor,68.99,Minor,55.26,Minor,87.49,Moderate,85.18,Moderate,81.83,Moderate,52.48,Minor,84.68,Moderate,72.6,Minor
22101,53.77,Minor,40.24,Minor,46.99,Minor,41.93,Minor,66.55,Moderate,94.94,Moderate,76.51,Moderate,45.47,Minor,79.48,Moderate,72.47,Minor
22103,88.58,Moderate,97.75,Major,88.95,Moderate,93.05,Moderate,97.62,Major,96.16,Major,88.55,Moderate,86.57,Moderate,89.68,Moderate,94.97,Moderate
22105,96.62,Major,98.18,Major,95.67,Major,93.38,Moderate,94.28,Major,97.29,Major,95.9,Moderate,86.63,Moderate,93.22,Major,96.46,Moderate
22107,70.81,Moderate,92.79,Moderate,75.88,Moderate,53.84,Minor,90.21,Moderate,95.83,Major,90.24,Moderate,90.3,Moderate,67.01,Moderate,75.05,Minor
22109,82.76,Moderate,95.53,Moderate,90.4,Moderate,72.04,Moderate,91.36,Moderate,89.68,Moderate,78.92,Moderate,76.14,Moderate,71.94,Moderate,88.22,Moderate
22111,44.04,Minor,89.25,Moderate,81.37,Moderate,84.15,Moderate,90.73,Moderate,53.97,Minor,52.08,Minor,44.61,Minor,55.76,Minor,51.26,Minor
22113,60.66,Minor,65.95,Minor,60.69,Minor,69.62,Minor,89.21,Moderate,61.68,Minor,82.89,Moderate,43.28,Minor,88.65,Moderate,55.13,Minor
22115,93.94,Major,78.76,Minor,80.24,Moderate,86.63,Moderate,90.97,Moderate,71.97,Moderate,81.3,Moderate,32.66,Minor,82.53,Moderate,92.32,Moderate
22117,83.42,Moderate,91.59,Moderate,68.76,Minor,76.57,Moderate,81.07,Moderate,85.74,Moderate,85.24,Moderate,70.35,Moderate,81.93,Moderate,93.32,Moderate
22119,49.01,Minor,70.12,Minor,72.63,Minor,71.77,Moderate,79.62,Moderate,81.8,Moderate,68.99,Moderate,57.35,Minor,73.26,Moderate,74.39,Minor
22121,78.92,Moderate,68.53,Minor,60.06,Minor,38.72,Minor,82.43,Moderate,86.5,Moderate,64,Moderate,34.08,Minor,64.92,Moderate,75.25,Minor
22123,44.57,Minor,32.4,Minor,25.18,Minor,31.57,Minor,14.99,Minor,33.82,Minor,40.7,Minor,27.3,Minor,45.67,Minor,54.27,Minor
22125,60.09,Minor,55.2,Minor,45.86,Minor,48.81,Minor,51.09,Minor,52.22,Minor,89.51,Moderate,27.33,Minor,66.71,Moderate,61.61,Minor
22127,60.32,Minor,55.03,Minor,53.84,Minor,51.65,Minor,68.86,Moderate,78.16,Moderate,75.98,Moderate,45.93,Minor,64.13,Moderate,71.44,Minor
23001,81.01,Moderate,72.77,Minor,84.25,Moderate,95.3,Major,92.65,Major,43.48,Minor,95.57,Moderate,80.68,Moderate,83.02,Moderate,92.22,Moderate
23003,70.55,Moderate,81.73,Moderate,76.6,Moderate,75.38,Moderate,88.32,Moderate,80.51,Moderate,73.86,Moderate,84.61,Moderate,92.89,Major,91.2,Moderate
