fips_code,PSVI_score,PSVI_cluster
11001,96.13,Major
12001,91.69,Major
12003,26.84,Minor
12005,70.55,Moderate
12007,32.46,Minor
12009,98.58,Severe
12011,99.77,Extreme
12013,49.93,Moderate
12015,91.3,Major
12017,74.52,Moderate
12019,85.94,Moderate
12021,98.05,Severe
12023,66.05,Moderate
12027,23.59,Minor
12029,40.9,Moderate
12031,99.6,Severe
12033,29.48,Minor
12035,67.34,Moderate
12037,18.2,Minor
12039,61.88,Moderate
12041,41.66,Moderate
12043,16.28,Minor
12045,17.07,Minor
12047,25.98,Minor
12049,20.35,Minor
12051,26.74,Minor
12053,90.04,Major
12055,34.45,Minor
12057,99.47,Severe
12059,43.55,Moderate
12061,48.05,Moderate
12063,51.65,Moderate
12065,32.03,Minor
12067,27.27,Minor
12069,58.07,Moderate
12071,98.84,Severe
12073,92.75,Major
12075,60.06,Moderate
12077,23.33,Minor
12079,15.49,Minor
12081,92.49,Major
12083,87.79,Moderate
12085,88.85,Moderate
12086,99.97,Extreme
12087,83.92,Moderate
12089,74.32,Moderate
12091,83.95,Moderate
12093,28.46,Minor
12095,97.45,Major
12097,74.78,Moderate
12099,99.54,Severe
12101,96.66,Major
12103,99.01,Severe
12105,94.11,Major
12107,57.78,Moderate
12109,89.31,Moderate
12111,86.9,Moderate
12113,48.35,Moderate
12115,97.62,Major
12117,87.49,Moderate
12119,50.13,Moderate
12121,46.26,Moderate
12123,21.54,Minor
12125,31.14,Minor
12127,97.88,Severe
12129,36.8,Minor
12131,71.84,Moderate
12133,40.87,Moderate
13001,26.08,Minor
13003,11.48,Minor
13005,11.38,Minor
13007,26.8,Minor
13009,24.29,Minor
13011,26.97,Minor
13013,63.37,Moderate
13015,50.03,Moderate
13017,52.35,Moderate
13019,1.79,Minor
13021,50,Moderate
13023,12.31,Minor
13025,6.68,Minor
13027,3.51,Minor
13029,25.91,Minor
13031,56.55,Moderate
13033,64.99,Moderate
13035,34.48,Minor
13037,5.56,Minor
13039,11.22,Minor
13043,12.18,Minor
13045,62.84,Moderate
13047,5.82,Minor
13049,5.96,Minor
13051,86.57,Moderate
13053,50.76,Moderate
13055,46.79,Moderate
13057,88.39,Moderate
13059,65.65,Moderate
13061,16.94,Minor
13063,93.05,Major
13065,19.16,Minor
13067,94.28,Major
13069,29.02,Minor
13071,12.24,Minor
13073,68.27,Moderate
13075,39.05,Moderate
13077,66.21,Moderate
13079,26.27,Minor
13081,62.28,Moderate
13083,29.88,Minor
13085,47.49,Moderate
13087,20.32,Minor
13089,98.28,Severe
13091,33.39,Minor
13093,38.02,Minor
13095,60.72,Moderate
13097,68.23,Moderate
13099,72.7,Moderate
13101,50.46,Moderate
13103,18.53,Minor
13105,47.39,Moderate
13107,17.54,Minor
13109,22.1,Minor
13111,53.44,Moderate
13113,69.95,Moderate
13115,79.81,Moderate
13117,46.66,Moderate
13119,31.01,Minor
13121,99.07,Severe
13123,73.86,Moderate
13125,3.38,Minor
13127,28.06,Minor
13129,53.94,Moderate
13131,41.36,Moderate
13133,19.56,Minor
13135,96.53,Major
13137,40.24,Moderate
13139,65.19,Moderate
13141,35.01,Minor
13143,33.98,Minor
13145,16.38,Minor
13147,61.52,Moderate
13149,15.45,Minor
13151,86.4,Moderate
13153,60.85,Moderate
13155,12.28,Minor
13157,66.15,Moderate
13159,34.65,Minor
13161,8.9,Minor
13163,31.2,Minor
13165,37.62,Minor
13167,6.59,Minor
13169,18.17,Minor
13171,46.59,Moderate
13173,58.27,Moderate
13175,47.02,Moderate
13177,6.52,Minor
13179,60.62,Moderate
13181,10.89,Minor
13183,33.72,Minor
13185,3.11,Minor
13187,53.51,Moderate
13189,17.9,Minor
13191,6.75,Minor
13193,18.43,Minor
13195,59.4,Moderate
13197,34.18,Minor
13199,17.64,Minor
13201,26.6,Minor
13205,60.56,Moderate
13207,47.32,Moderate
13209,9.6,Minor
13211,60.26,Moderate
13213,62.51,Moderate
13215,85.27,Moderate
13217,48.61,Moderate
13219,54.7,Moderate
13221,47.58,Moderate
13223,61.25,Moderate
13225,44.04,Moderate
13227,50.99,Moderate
13229,8.84,Minor
13231,40.7,Moderate
13233,43.28,Moderate
13235,8.93,Minor
13237,12.84,Minor
13239,5.79,Minor
13241,52.45,Moderate
13243,6.85,Minor
13245,83.29,Moderate
13247,37.43,Minor
13249,17.31,Minor
13251,90.64,Major
13253,37.16,Minor
13255,48.28,Moderate
13257,15.82,Minor
13259,4.83,Minor
13261,7.97,Minor
13263,54.47,Moderate
13265,17.11,Minor
13267,13.34,Minor
13269,8.54,Minor
13271,31.77,Minor
13273,15.92,Minor
13275,49.24,Moderate
13277,11.68,Minor
13279,24.65,Minor
13281,25.12,Minor
13283,3.01,Minor
13285,86.66,Moderate
13287,5.43,Minor
13289,45.33,Moderate
13291,19.79,Minor
13293,71.74,Moderate
13295,59.17,Moderate
13297,69.26,Moderate
13299,26.87,Minor
13301,31.67,Minor
13303,47.05,Moderate
13305,17.14,Minor
13307,13.57,Minor
13309,59.96,Moderate
13311,49.64,Moderate
13313,59.76,Moderate
13315,38.82,Moderate
13317,52.75,Moderate
13319,24.39,Minor
13321,61.91,Moderate
16001,92.36,Major
16003,11.55,Minor
16005,14.26,Minor
16007,7.74,Minor
16009,9.89,Minor
16011,57.71,Moderate
16013,14.16,Minor
16015,40.77,Moderate
16017,30.11,Minor
16019,34.05,Minor
16021,9.27,Minor
16023,27.5,Minor
16025,18.4,Minor
16027,69.52,Moderate
16029,46.46,Moderate
16031,38.45,Moderate
16033,7.31,Minor
16035,23.46,Minor
16037,41.76,Moderate
16039,29.58,Minor
16041,21.38,Minor
16043,21.18,Minor
16045,1.85,Minor
16047,14.59,Minor
16049,43.68,Moderate
16051,9.03,Minor
16053,6.72,Minor
16055,76.6,Moderate
16057,10.69,Minor
16059,7.54,Minor
16061,12.34,Minor
16063,4.24,Minor
16065,2.18,Minor
16067,10.72,Minor
16069,43.12,Moderate
16071,11.25,Minor
16073,21.08,Minor
16075,5.36,Minor
16077,8.21,Minor
16079,12.48,Minor
16081,7.38,Minor
16083,74.95,Moderate
16085,14.96,Minor
16087,31.83,Minor
17001,19.29,Minor
17003,43.85,Moderate
17005,25.18,Minor
17007,62.41,Moderate
17009,1.06,Minor
17011,58.7,Moderate
17013,44.8,Moderate
17015,78.99,Moderate
17017,5.69,Minor
17019,53.31,Moderate
17021,13.47,Minor
17023,11.02,Minor
17025,18.86,Minor
17027,2.08,Minor
17029,42.19,Moderate
17031,98.38,Severe
17033,7.81,Minor
17035,22.53,Minor
17037,71.28,Moderate
17039,15.02,Minor
17041,2.45,Minor
17043,93.68,Major
17045,1.19,Minor
17047,17.6,Minor
17049,74.22,Moderate
17051,16.91,Minor
17053,23.53,Minor
17055,68.4,Moderate
17057,41.96,Moderate
17059,1.92,Minor
17061,7.28,Minor
17063,81.01,Moderate
17065,25.22,Minor
17067,17.87,Minor
17069,5.13,Minor
17071,5.92,Minor
17073,65.72,Moderate
17075,35.51,Minor
17077,71.54,Moderate
17079,25.08,Minor
17081,54.93,Moderate
17083,19.72,Minor
17085,3.87,Minor
17087,40.44,Moderate
17089,88.91,Moderate
17091,70.95,Moderate
17093,64.16,Moderate
17095,65.39,Moderate
17097,91.36,Major
17099,51.19,Moderate
17101,59.03,Moderate
17103,58.44,Moderate
17105,60.09,Moderate
17107,17.41,Minor
17109,30.97,Minor
17111,81.54,Moderate
17113,82.93,Moderate
17115,54.14,Moderate
17117,57.68,Moderate
17119,89.01,Moderate
17121,27.93,Minor
17123,29.35,Minor
17125,27.6,Minor
17127,45.43,Moderate
17129,21.11,Minor
17131,26.64,Minor
17133,24.69,Minor
17135,32.53,Minor
17137,40.04,Moderate
17139,25.84,Minor
17141,58.37,Moderate
17143,88.58,Moderate
17145,34.94,Minor
17147,7.41,Minor
17149,14.63,Minor
17151,11.98,Minor
17153,45.1,Moderate
17155,3.71,Minor
17157,50.79,Moderate
17159,89.34,Moderate
17161,37.52,Minor
17163,74.45,Moderate
17165,50.26,Moderate
17167,29.65,Minor
17169,1.16,Minor
17171,0.46,Minor
17173,4.04,Minor
17175,3.24,Minor
17177,36.66,Minor
17179,74.82,Moderate
17181,6.95,Minor
17183,21.64,Minor
17185,73.66,Moderate
17187,11.42,Minor
17189,21.77,Minor
17191,24.12,Minor
17193,53.41,Moderate
17195,51.75,Moderate
17197,90.21,Major
17199,63.73,Moderate
17201,77.9,Moderate
17203,39.64,Moderate
18001,34.81,Minor
18003,92.39,Major
18005,29.22,Minor
18007,18.27,Minor
18009,28.29,Minor
18011,49.87,Moderate
18013,28.13,Minor
18015,73.43,Moderate
18017,63.1,Moderate
18019,83.59,Moderate
18021,16.55,Minor
18023,61.98,Moderate
18025,12.77,Minor
18027,45.96,Moderate
18029,52.65,Moderate
18031,42.12,Moderate
18033,79.78,Moderate
18035,90.11,Major
18037,50.2,Moderate
18039,88.62,Moderate
18041,24.09,Minor
18043,67.67,Moderate
18045,42.92,Moderate
18047,69.06,Moderate
18049,29.25,Minor
18051,58.74,Moderate
18053,78.95,Moderate
18055,46.69,Moderate
18057,90.8,Major
18059,73.46,Moderate
18061,34.78,Minor
18063,74.75,Moderate
18065,65.62,Moderate
18067,44.71,Moderate
18069,49.37,Moderate
18071,61.61,Moderate
18073,78.03,Moderate
18075,55.66,Moderate
18077,55.99,Moderate
18079,49.8,Moderate
18081,85.41,Moderate
18083,25.78,Minor
18085,72.8,Moderate
18087,56.49,Moderate
18089,95.47,Major
18091,85.64,Moderate
18093,70.68,Moderate
18095,88.05,Moderate
18097,98.87,Severe
18099,66.38,Moderate
18101,8.17,Minor
18103,80.74,Moderate
18105,84.05,Moderate
18107,65.92,Moderate
18109,74.35,Moderate
18111,32.16,Minor
18113,79.22,Moderate
18115,40.4,Moderate
18117,78.79,Moderate
18119,49.77,Moderate
18121,65.85,Moderate
18123,75.71,Moderate
18125,36.43,Minor
18127,90.34,Major
18129,17.67,Minor
18131,56.29,Moderate
18133,37.69,Minor
18135,60.23,Moderate
18137,63.5,Moderate
18139,4.2,Minor
18141,93.38,Major
18143,70.45,Moderate
18145,55.89,Moderate
18147,7.88,Minor
18149,29.95,Minor
18151,38.98,Moderate
18153,24.16,Minor
18155,41,Moderate
18157,86.37,Moderate
18159,36.73,Minor
18161,20.75,Minor
18163,67.17,Moderate
18165,23.56,Minor
18167,42.36,Moderate
18169,45.57,Moderate
18171,68.03,Moderate
18173,68.63,Moderate
18175,41.93,Moderate
18177,76.97,Moderate
18179,70.58,Moderate
18181,55.43,Moderate
18183,32.66,Minor
19001,31.87,Minor
19003,19.76,Minor
19005,36.5,Minor
19007,5.59,Minor
19009,12.91,Minor
19011,10.49,Minor
19013,38.42,Moderate
19015,4.9,Minor
19017,72.44,Moderate
19019,67.74,Moderate
19021,50.07,Moderate
19023,47.12,Moderate
19025,17.34,Minor
19027,28.56,Minor
19029,45.53,Moderate
19031,23.99,Minor
19033,30.94,Minor
19035,28.39,Minor
19037,52.12,Moderate
19039,39.77,Moderate
19041,56.59,Moderate
19043,23.1,Minor
19045,12.01,Minor
19047,49.7,Moderate
19049,51.42,Moderate
19051,59.7,Moderate
19053,23.4,Minor
19055,0.2,Minor
19057,58.24,Moderate
19059,11.12,Minor
19061,66.88,Moderate
19063,47.98,Moderate
19065,27.66,Minor
19067,32.69,Minor
19069,11.35,Minor
19071,13.96,Minor
19073,0.56,Minor
19075,28.69,Minor
19077,11.88,Minor
19079,48.31,Moderate
19081,18.76,Minor
19083,26.77,Minor
19085,45.14,Moderate
19087,58.6,Moderate
19089,0.89,Minor
19091,0.99,Minor
19093,18.99,Minor
19095,8.5,Minor
19097,48.51,Moderate
19099,7.45,Minor
19101,16.25,Minor
19103,38.52,Moderate
19105,25.68,Minor
19107,5.39,Minor
19109,49.83,Moderate
19111,5.23,Minor
19113,1.22,Minor
19115,49.27,Moderate
19117,16.58,Minor
19119,37.76,Minor
19121,61.55,Moderate
19123,46.92,Moderate
19125,56.22,Moderate
19127,4.33,Minor
19129,4.5,Minor
19131,19.59,Minor
19133,37.49,Minor
19135,14.99,Minor
19137,3.97,Minor
19139,60.46,Moderate
19141,19.32,Minor
19143,59.2,Moderate
19145,30.87,Minor
19147,8.24,Minor
19149,51.52,Moderate
19151,40.73,Moderate
19153,88.48,Moderate
19155,72.96,Moderate
19157,6.49,Minor
19159,8.04,Minor
19161,16.71,Minor
19163,20.68,Minor
19165,61.45,Moderate
19167,49.97,Moderate
19169,28.19,Minor
19171,7.25,Minor
19173,11.81,Minor
19175,6.78,Minor
19177,43.88,Moderate
19179,57.48,Moderate
19181,61.38,Moderate
19183,23.63,Minor
19185,44.57,Moderate
19187,21.34,Minor
19189,24.62,Minor
19191,26.57,Minor
19193,55.49,Moderate
19195,1.59,Minor
19197,5.06,Minor
20001,70.19,Moderate
20003,42.52,Moderate
20005,28.09,Minor
20007,16.88,Minor
20009,11.18,Minor
20011,44.84,Moderate
20013,27.47,Minor
20015,64.56,Moderate
20017,11.52,Minor
20019,22.63,Minor
20021,14.49,Minor
20023,90.73,Major
20027,16.51,Minor
20029,56.15,Moderate
20031,46.16,Moderate
20035,37.86,Minor
20037,50.53,Moderate
20039,72.34,Moderate
20041,0.76,Minor
20043,51.99,Moderate
20045,59.83,Moderate
20047,1.29,Minor
20049,9.23,Minor
20051,2.58,Minor
20053,73.79,Moderate
20055,76.51,Moderate
20059,71.94,Moderate
20061,20.45,Minor
20063,5.46,Minor
20065,41.4,Moderate
20069,81.24,Moderate
20071,43.38,Moderate
20073,14.3,Minor
20075,55.69,Moderate
20077,34.91,Minor
20079,25.81,Minor
20083,3.04,Minor
20085,33.85,Minor
20087,68.73,Moderate
20089,57.61,Moderate
20091,92.06,Major
20093,78.23,Moderate
20095,67.37,Moderate
20099,32.96,Minor
20103,63.4,Moderate
20105,47.42,Moderate
20107,42.03,Moderate
20109,1.03,Minor
20111,20.28,Minor
20113,90.57,Major
20115,64.66,Moderate
20117,2.15,Minor
20121,68.3,Moderate
20123,51.32,Moderate
20125,44.21,Moderate
20127,11.05,Minor
20129,0.13,Minor
20131,56.19,Moderate
20133,85.54,Moderate
20135,60.36,Moderate
20137,80.01,Moderate
20139,47.45,Moderate
20141,36.83,Minor
20143,1.89,Minor
20145,38.15,Minor
20147,30.71,Minor
20149,52.38,Moderate
20151,91.56,Major
20153,66.98,Moderate
20155,28.42,Minor
20157,84.28,Moderate
20159,2.38,Minor
20161,9.83,Minor
20163,87,Moderate
20165,23.92,Minor
20167,67.21,Moderate
20169,1.36,Minor
20171,32.73,Minor
20173,89.51,Major
20175,56.65,Moderate
20177,84.35,Moderate
20179,8.64,Minor
20181,45.67,Moderate
20183,20.98,Minor
20185,14.36,Minor
20191,84.15,Moderate
20193,58.21,Moderate
20195,0.96,Minor
20197,12.67,Minor
20199,4.1,Minor
20201,34.32,Minor
20203,4.63,Minor
20205,74.06,Moderate
20207,13.8,Minor
20209,81.11,Moderate
21001,40.14,Moderate
21003,25.38,Minor
21005,10.59,Minor
21007,12.64,Minor
21009,27.3,Minor
21011,8.67,Minor
21013,67.7,Moderate
21015,79.72,Moderate
21017,32,Minor
21019,39.51,Moderate
21021,35.77,Minor
21023,14.73,Minor
21025,77.27,Moderate
21027,46.72,Moderate
21029,44.94,Moderate
21031,4.8,Minor
21033,37,Minor
21035,50.36,Moderate
21037,73.89,Moderate
21039,26.11,Minor
21041,11.32,Minor
21043,17.01,Minor
21045,34.68,Minor
21047,75.15,Moderate
21049,49.31,Moderate
21051,39.61,Moderate
21053,10.66,Minor
21055,11.61,Minor
21057,20.25,Minor
21059,62.54,Moderate
21061,6.12,Minor
21063,58.93,Moderate
21065,37.82,Minor
21067,89.08,Moderate
21069,49.21,Moderate
21071,82.16,Moderate
21073,69.79,Moderate
21075,24.98,Minor
21077,13.1,Minor
21079,43.05,Moderate
21081,26.17,Minor
21083,12.44,Minor
21085,33.65,Minor
21087,20.55,Minor
21089,72.73,Moderate
21091,7.11,Minor
21093,57.28,Moderate
21095,77.23,Moderate
21097,36.27,Minor
21099,16.64,Minor
21101,38.78,Moderate
21103,64.82,Moderate
21105,9.1,Minor
21107,41.23,Moderate
21109,3.54,Minor
21111,97.12,Major
21113,40.17,Moderate
21115,27.43,Minor
21117,90.44,Major
21119,25.88,Minor
21121,48.54,Moderate
21123,7.51,Minor
21125,41.3,Moderate
21127,23.36,Minor
21129,20.42,Minor
21131,33.42,Minor
21133,41.53,Moderate
21135,40.6,Moderate
21137,27.4,Minor
21139,26.9,Minor
21141,42.46,Moderate
21143,23.79,Minor
21145,52.32,Moderate
21147,15.09,Minor
21149,24.92,Minor
21151,55.86,Moderate
21153,54.3,Moderate
21155,13.43,Minor
21157,38.05,Minor
21159,49.04,Moderate
21161,59.53,Moderate
21163,42.65,Moderate
21165,10.75,Minor
21167,24.75,Minor
21169,23.66,Minor
21171,21.51,Minor
21173,30.48,Minor
21175,57.97,Moderate
21177,34.15,Minor
21179,33.62,Minor
21181,42.75,Moderate
21183,16.35,Minor
21185,56.45,Moderate
21187,13.9,Minor
21189,47.75,Moderate
21191,43.15,Moderate
21193,30.84,Minor
21195,85.87,Moderate
21197,15.72,Minor
21199,63.57,Moderate
21201,4.14,Minor
21203,23.03,Minor
21205,67.47,Moderate
21207,33.95,Minor
21209,68.7,Moderate
21211,65.12,Moderate
21213,36.1,Minor
21215,18.96,Minor
21217,38.19,Minor
21219,14.43,Minor
21221,15.25,Minor
21223,3.28,Minor
21225,30.05,Minor
21227,44.64,Moderate
21229,3.47,Minor
21231,39.84,Moderate
21233,30.54,Minor
21235,53.08,Moderate
21237,13.63,Minor
21239,9.79,Minor
22001,29.78,Minor
22003,71.61,Moderate
22005,88.75,Moderate
22007,32.1,Minor
22009,46.62,Moderate
22011,86.23,Moderate
22013,39.58,Moderate
22015,89.41,Moderate
22017,95.6,Major
22019,94.9,Major
22021,21.28,Minor
22023,36.47,Minor
22025,95.9,Major
22027,23.76,Minor
22029,81.27,Moderate
22031,80.08,Moderate
22033,98.68,Severe
22035,46.19,Moderate
22037,63.47,Moderate
22039,46.36,Moderate
22041,17.74,Minor
22043,47.85,Moderate
22045,58.64,Moderate
22047,72.63,Moderate
22049,29.75,Minor
22051,98.54,Severe
22053,24.95,Minor
22055,65.78,Moderate
22057,79.35,Moderate
22059,28.23,Minor
22061,51.89,Moderate
22063,77.04,Moderate
22065,42.62,Moderate
22067,25.48,Minor
22069,85.04,Moderate
22071,98.78,Severe
22073,64.06,Moderate
22075,33.19,Minor
22077,42.95,Moderate
22079,85.08,Moderate
22081,51.13,Moderate
22083,45.4,Moderate
22085,71.08,Moderate
22087,30.34,Minor
22089,61.71,Moderate
22091,67.31,Moderate
22093,25.58,Minor
22095,41.89,Moderate
22097,63.14,Moderate
22099,32.43,Minor
22101,36.07,Minor
22103,85.44,Moderate
22105,93.35,Major
22107,82.4,Moderate
22109,83.26,Moderate
22111,36.9,Minor
22113,38.58,Moderate
22115,76.11,Moderate
22117,41.1,Moderate
22119,78.29,Moderate
22121,20.78,Minor
22123,56.02,Moderate
22125,51.36,Moderate
22127,36.93,Minor
23001,82.66,Moderate
23003,64.92,Moderate
23005,95.43,Major
23007,56.42,Moderate
23009,80.77,Moderate
23011,76.84,Moderate
23013,40.54,Moderate
23015,50.89,Moderate
23017,87.59,Moderate
23019,91.76,Major
23021,72.93,Moderate
23023,58.14,Moderate
23025,31.8,Minor
23027,35.7,Minor
23029,40.3,Moderate
23031,77.86,Moderate
24001,84.12,Moderate
24003,96,Major
24005,97.95,Severe
24009,28.03,Minor
24011,51.59,Moderate
24013,55.23,Moderate
24015,86.5,Moderate
24017,32.13,Minor
24019,41.56,Moderate
24021,92.69,Major
24023,51.79,Moderate
24025,86.73,Moderate
24027,91.2,Major
24029,37.99,Minor
24031,96.43,Major
24033,96.86,Major
24035,42.09,Moderate
24037,39.71,Moderate
24039,54.67,Moderate
24041,39.25,Moderate
24043,86.17,Moderate
24045,65.75,Moderate
24047,51.39,Moderate
24510,97.39,Major
25001,93.18,Major
25003,87.52,Moderate
25005,92.19,Major
25007,1.26,Minor
25009,95.04,Major
25011,80.15,Moderate
25013,91.16,Major
25015,80.87,Moderate
25017,98.51,Severe
25019,27.04,Minor
25021,94.24,Major
25023,93.22,Major
25025,93.48,Major
25027,97.49,Major
26001,34.51,Minor
26003,9,Minor
26005,89.97,Major
26007,69.69,Moderate
26009,22.04,Minor
26011,44.54,Moderate
26013,74.29,Moderate
26015,63.34,Moderate
26017,84.61,Moderate
26019,14.2,Minor
26021,92.85,Major
26023,62.77,Moderate
26025,85.18,Moderate
26027,90.77,Major
26029,65.06,Moderate
26031,32.63,Minor
26033,57.84,Moderate
26035,37.46,Minor
26037,79.68,Moderate
26039,41.43,Moderate
26041,48.48,Moderate
26043,19.09,Minor
26045,70.28,Moderate
26047,68.99,Moderate
26049,95.2,Major
26051,72.2,Moderate
26053,5.76,Minor
26055,68.53,Moderate
26057,74.88,Moderate
26059,53.87,Moderate
26061,31.9,Minor
26063,57.94,Moderate
26065,84.58,Moderate
26067,73.63,Moderate
26069,60.52,Moderate
26071,14.06,Minor
26073,69.23,Moderate
26075,84.55,Moderate
26077,83.49,Moderate
26079,14.66,Minor
26081,96.36,Major
26083,2.05,Minor
26085,40.64,Moderate
26087,88.82,Moderate
26089,40.8,Moderate
26091,22.37,Minor
26093,87.46,Moderate
